101652024.IB,16铁道MTN002,1.6411Y,3.2385,0.1821,公募,2019-10-17
150744.SH,G18川铁1,2+2Y,4.4728,0.2947,私募,2019-10-17
150739.SH,18粤铁03,1.9836+2Y,4.5279,0.295,私募,2019-10-17
101900906.IB,19京津冀MTN002,2.7342Y,3.6309,0.4181,公募,2019-10-17
041800397.IB,18南京铁建CP001,0.0521Y,2.7625,0.0148,公募,2019-10-17
1680080.IB,16鲁铁投债,6.3753+5Y,5.4554,2.5997,公募,2019-10-17
031563004.IB,15赣铁PPN001,0.2683Y,3.9186,0.0846,私募,2019-10-17
127173.SH,PR津铁投,5.4877Y,4.1717,0.6097,公募,2019-10-17
031900658.IB,19皖铁基金PPN002,2.8603Y,4.6857,0.6163,私募,2019-10-17
1280365.IB,12并高铁债,1.0361Y,3.3544,0.119,公募,2019-10-17
031800388.IB,18云投PPN001,1.6959Y,4.5363,0.3441,私募,2019-10-17
118568.SZ,16桂铁投,1.4329Y,4.2007,0.2508,私募,2019-10-17
